05-01;Jdg13:1-25,Jdg14:1-20;Jhn1:29-51;Psalm102:1-28;Pro14:15-16
05-02;Jdg15:1-20,Jdg16:1-31;Jhn2:1-25;Psalm103:1-22;Pro14:17-19
05-03;Jdg17:1-13,Jdg18:1-31;Jhn3:1-21;Psalm104:1-23;Pro14:20-21
05-04;Jdg19:1-30,Jdg20:1-48;Jhn3:22-36,Jhn4:1-3;Psalm104:24-35;Pro14:22-24
05-05;Jdg21:1-25,Jdg22:1-34,Jdg23:1-16,Jdg24:1-33,Rut1:1-22;Jhn4:4-42;Psalm105:1-15;Pro14:25
05-06;Rut2:1-23,Rut3:1-18,Rut4:1-22;Jhn4:43-54;Psalm105:16-36;Pro14:26-27
05-07;1Sa1:1-28,1Sa2:1-21;Jhn5:1-23;Psalm105:37-45;Pro14:28-29
05-08;1Sa2:22-36,1Sa3:1-21,1Sa4:1-22;Jhn5:24-47;Psalm106:1-12;Pro14:30-31
05-09;1Sa5:1-12,1Sa6:1-21,1Sa7:1-17;Jhn6:1-21;Psalm106:13-31;Pro14:32-33
05-10;1Sa8:1-22,1Sa9:1-27;Jhn6:22-42;Psalm106:32-48;Pro14:34-35
05-11;1Sa10:1-27,1Sa11:1-15;Jhn6:43-71;Psalm107:1-43;Pro15:1-3
05-12;1Sa12:1-25,1Sa13:1-22;Jhn7:1-29;Psalm108:1-13;Pro15:4
05-13;1Sa13:23,1Sa14:1-52;Jhn7:30-53;Psalm109:1-31;Pro15:5-7
05-14;1Sa15:1-35,1Sa16:1-23;Jhn8:1-20;Psalm110:1-7;Pro15:8-10
05-15;1Sa17:1-58,1Sa18:1-4;Jhn8:21-30;Psalm111:1-10;Pro15:11
05-16;1Sa18:5-30,1Sa19:1-24;Jhn8:31-59;Psalm112:1-10;Pro15:12-14
05-17;1Sa20:1-42,1Sa21:1-15;Jhn9:1-41;Psalm113:1-9,Psalm114:1-8;Pro15:15-17
05-18;1Sa22:1-23,1Sa23:1-29;Jhn10:1-21;Psalm115:1-18;Pro15:18-19
05-19;1Sa24:1-22,1Sa25:1-44;Jhn10:22-42;Psalm116:1-19;Pro15:20-21
05-20;1Sa26:1-25,1Sa27:1-12,1Sa28:1-25;Jhn11:1-53;Psalm117:1-2;Pro15:22-23
05-21;1Sa29:1-11,1Sa30:1-31,1Sa31:1-13;Jhn11:54-57,Jhn12:1-19;Psalm118:1-18;Pro15:24-26
05-22;2Sa1:1-27,2Sa2:1-11;Jhn12:20-50;Psalm118:19-29;Pro15:27-28
05-23;2Sa2:12-32,2Sa3:1-39;Jhn13:1-30;Psalm119:1-16;Pro15:29-30
05-24;2Sa4:1-12,2Sa5:1-25,2Sa6:1-23;Jhn13:31-38,Jhn14:1-14;Psalm119:17-32;Pro15:31-32
05-25;2Sa7:1-29,2Sa8:1-18;Jhn14:15-31;Psalm119:33-48;Pro15:33
05-26;2Sa9:1-13,2Sa10:1-19,2Sa11:1-27;Jhn15:1-27;Psalm119:49-64;Pro16:1-3
05-27;2Sa12:1-31;Jhn16:1-33;Psalm119:65-80;Pro16:4-5
05-28;2Sa13:1-39;Jhn17:1-26;Psalm119:81-96;Pro16:6-7
05-29;2Sa14:1-33,2Sa15:1-22;Jhn18:1-24;Psalm119:97-112;Pro16:8-9
05-30;2Sa15:23-37,2Sa16:1-23;Jhn18:25-40,Jhn19:1-22;Psalm119:113-128;Pro16:10-11
05-31;2Sa17:1-29;Jhn19:23-42;Psalm119:129-152;Pro16:12-13
